code;class;sex;prevalence
V98;ICD_codes;male;0.0018264840182648401
H44;ICD_codes;male;0.0018264840182648401
H05;ICD_codes;male;0.0018264840182648401
L58;ICD_codes;male;0.0018264840182648401
199;Phecodes;male;0.0018306636155606408
297;Phecodes;male;0.0018306636155606408
173;Phecodes;male;0.0018306636155606408
255;Phecodes;male;0.0018306636155606408
356;Phecodes;male;0.0018306636155606408
975;Phecodes;male;0.0018306636155606408
315;Phecodes;male;0.0018306636155606408
717;Phecodes;male;0.0018306636155606408
246;Phecodes;male;0.0018306636155606408
568;Phecodes;male;0.0018306636155606408
C91;ICD_codes;both;0.0020218358269308533
G60;ICD_codes;both;0.0020218358269308533
T48;ICD_codes;both;0.0020218358269308533
S27;ICD_codes;both;0.0020218358269308533
R97;ICD_codes;both;0.0020218358269308533
D52;ICD_codes;both;0.0020218358269308533
C96;ICD_codes;both;0.0020218358269308533
L59;ICD_codes;both;0.0020218358269308533
Q85;ICD_codes;both;0.0020218358269308533
D28;ICD_codes;both;0.0020218358269308533
B94;ICD_codes;both;0.0020218358269308533
G64;ICD_codes;both;0.0020218358269308533
O62;ICD_codes;both;0.0020218358269308533
G20;ICD_codes;both;0.0020218358269308533
H59;ICD_codes;both;0.0020218358269308533
R57;ICD_codes;both;0.0020218358269308533
D29;ICD_codes;both;0.0020218358269308533
Z94;ICD_codes;both;0.0020218358269308533
F13;ICD_codes;both;0.0020218358269308533
A37;ICD_codes;both;0.0020218358269308533
Z36;ICD_codes;both;0.0020218358269308533
S36;ICD_codes;both;0.0020218358269308533
D14;ICD_codes;both;0.0020218358269308533
222;Phecodes;both;0.002025111381125962
797;Phecodes;both;0.002025111381125962
356;Phecodes;both;0.002025111381125962
360;Phecodes;both;0.002025111381125962
376;Phecodes;both;0.002025111381125962
221;Phecodes;both;0.002025111381125962
332;Phecodes;both;0.002025111381125962
975;Phecodes;both;0.002025111381125962
R89;ICD_codes;female;0.0021770682148040637
G90;ICD_codes;female;0.0021770682148040637
K09;ICD_codes;female;0.0021770682148040637
C80;ICD_codes;female;0.0021770682148040637
F05;ICD_codes;female;0.0021770682148040637
D04;ICD_codes;female;0.0021770682148040637
D10;ICD_codes;female;0.0021770682148040637
J69;ICD_codes;female;0.0021770682148040637
Q12;ICD_codes;female;0.0021770682148040637
Q85;ICD_codes;female;0.0021770682148040637
R16;ICD_codes;female;0.0021770682148040637
N31;ICD_codes;female;0.0021770682148040637
N21;ICD_codes;female;0.0021770682148040637
S51;ICD_codes;female;0.0021770682148040637
G60;ICD_codes;female;0.0021770682148040637
K86;ICD_codes;female;0.0021770682148040637
T82;ICD_codes;female;0.0021770682148040637
T48;ICD_codes;female;0.0021770682148040637
L27;ICD_codes;female;0.0021770682148040637
D61;ICD_codes;female;0.0021770682148040637
B15;ICD_codes;female;0.0021770682148040637
D37;ICD_codes;female;0.0021770682148040637
R76;ICD_codes;female;0.0021770682148040637
D53;ICD_codes;female;0.0021770682148040637
R93;ICD_codes;female;0.0021770682148040637
G83;ICD_codes;female;0.0021770682148040637
818;Phecodes;female;0.002179440610243371
279;Phecodes;female;0.002179440610243371
854;Phecodes;female;0.002179440610243371
975;Phecodes;female;0.002179440610243371
356;Phecodes;female;0.002179440610243371
337;Phecodes;female;0.002179440610243371
500;Phecodes;female;0.002179440610243371
580;Phecodes;female;0.002179440610243371
1008;Phecodes;female;0.002179440610243371
501;Phecodes;female;0.002179440610243371
284;Phecodes;female;0.002179440610243371
B85;ICD_codes;both;0.0022240194096239383
E27;ICD_codes;both;0.0022240194096239383
V87;ICD_codes;both;0.0022240194096239383
M32;ICD_codes;both;0.0022240194096239383
N36;ICD_codes;both;0.0022240194096239383
L68;ICD_codes;both;0.0022240194096239383
K86;ICD_codes;both;0.0022240194096239383
D10;ICD_codes;both;0.0022240194096239383
V98;ICD_codes;both;0.0022240194096239383
G90;ICD_codes;both;0.0022240194096239383
Z15;ICD_codes;both;0.0022240194096239383
D33;ICD_codes;both;0.0022240194096239383
J41;ICD_codes;both;0.0022240194096239383
L58;ICD_codes;both;0.0022240194096239383
E10;ICD_codes;both;0.0022240194096239383
E01;ICD_codes;both;0.0022240194096239383
Z70;ICD_codes;both;0.0022240194096239383
O41;ICD_codes;both;0.0022240194096239383
H34;ICD_codes;both;0.0022240194096239383
G83;ICD_codes;both;0.0022240194096239383
O46;ICD_codes;both;0.0022240194096239383
D05;ICD_codes;both;0.0022240194096239383
W99;ICD_codes;both;0.0022240194096239383
J09;ICD_codes;both;0.0022240194096239383
H73;ICD_codes;both;0.0022240194096239383
B15;ICD_codes;both;0.0022240194096239383
R89;ICD_codes;both;0.0022240194096239383
981;Phecodes;both;0.0022276225192385582
749;Phecodes;both;0.0022276225192385582
158;Phecodes;both;0.0022276225192385582
447;Phecodes;both;0.0022276225192385582
337;Phecodes;both;0.0022276225192385582
334;Phecodes;both;0.0022276225192385582
F44;ICD_codes;male;0.00228310502283105
Q89;ICD_codes;male;0.00228310502283105
T22;ICD_codes;male;0.00228310502283105
C96;ICD_codes;male;0.00228310502283105
E22;ICD_codes;male;0.00228310502283105
D10;ICD_codes;male;0.00228310502283105
K86;ICD_codes;male;0.00228310502283105
G83;ICD_codes;male;0.00228310502283105
T80;ICD_codes;male;0.00228310502283105
A04;ICD_codes;male;0.00228310502283105
B94;ICD_codes;male;0.00228310502283105
L04;ICD_codes;male;0.00228310502283105
M87;ICD_codes;male;0.00228310502283105
L56;ICD_codes;male;0.00228310502283105
B15;ICD_codes;male;0.00228310502283105
R89;ICD_codes;male;0.00228310502283105
A37;ICD_codes;male;0.00228310502283105
G90;ICD_codes;male;0.00228310502283105
E73;ICD_codes;male;0.00228310502283105
A49;ICD_codes;male;0.00228310502283105
337;Phecodes;male;0.002288329519450801
229;Phecodes;male;0.002288329519450801
941;Phecodes;male;0.002288329519450801
709;Phecodes;male;0.002288329519450801
D34;ICD_codes;both;0.002426202992317024
T22;ICD_codes;both;0.002426202992317024
O33;ICD_codes;both;0.002426202992317024
D02;ICD_codes;both;0.002426202992317024
I61;ICD_codes;both;0.002426202992317024
S33;ICD_codes;both;0.002426202992317024
D53;ICD_codes;both;0.002426202992317024
I88;ICD_codes;both;0.002426202992317024
D37;ICD_codes;both;0.002426202992317024
D32;ICD_codes;both;0.002426202992317024
I72;ICD_codes;both;0.002426202992317024
D30;ICD_codes;both;0.002426202992317024
Z16;ICD_codes;both;0.002426202992317024
J69;ICD_codes;both;0.002426202992317024
A59;ICD_codes;both;0.002426202992317024
K70;ICD_codes;both;0.002426202992317024
D11;ICD_codes;both;0.002426202992317024
O64;ICD_codes;both;0.002426202992317024
N31;ICD_codes;both;0.002426202992317024
A56;ICD_codes;both;0.002426202992317024
173;Phecodes;both;0.002430133657351154
500;Phecodes;both;0.002430133657351154
526;Phecodes;both;0.002430133657351154
223;Phecodes;both;0.002430133657351154
226;Phecodes;both;0.002430133657351154
501;Phecodes;both;0.002430133657351154
F12;ICD_codes;female;0.0025399129172714078
F13;ICD_codes;female;0.0025399129172714078
G64;ICD_codes;female;0.0025399129172714078
I27;ICD_codes;female;0.0025399129172714078
L58;ICD_codes;female;0.0025399129172714078
M45;ICD_codes;female;0.0025399129172714078
I42;ICD_codes;female;0.0025399129172714078
D63;ICD_codes;female;0.0025399129172714078
S41;ICD_codes;female;0.0025399129172714078
